Заголовок:Зустріч кураторів з 1 курсом ОС «Бакалавр» 122 «Комп‘ютерні науки»

Дата: ----------
URL: https://kit.nau.edu.ua/news/view?id=54
==================================================
Зустріч кураторів з 1 курсом ОС «Бакалавр» 122 «Комп‘ютерні науки»
 2021-08-30


Кафедра Комп‘ютерних інформаційних технологій


Група	Дата	Час	Аудиторія	Куратор
УС-110Б	31.08.2021	12.00	6-302	Старший викладач ОСТАПЕНКО Олександр Сергійович
УС-111Б	31.08.2021	11.00	6-302	Заступник декана КУКЛІНСЬКИЙ Максим Володимирович
УС-112Б	31.08.2021	11.00	6-302	Завідувач кафедри САВЧЕНКО Аліна Станіславівна
УС-113Б	31.08.2021	10.00	6-302	Доцент КОЛІСНИК Олена Василівна
УС-114Б	31.08.2021	10.00	6-302	Доцент КОЛІСНИК Олена Василівна
ТП-115Б	31.08.2021	10.00	6-202	Асистент ГОРІНА Віолетта Володимирівна
ТП-116Б	31.08.2021	10.00	6-202	Асистент ГОРІНА Віолетта Володимирівна
ТП-117Б	31.08.2021	10.00	6-202	Асистент ГОРІНА Віолетта Володимирівна
